iter	Passed	Remaining
0	1	149
1	3	165
2	4	131
3	4	118
4	5	105
5	7	120
6	8	108
7	8	102
8	9	96
9	10	91
10	10	86
11	11	83
12	12	81
13	13	79
14	13	76
15	14	74
16	15	74
17	15	71
18	16	68
19	16	67
20	17	65
21	17	63
22	18	61
23	18	59
24	19	58
25	20	57
26	20	55
27	21	54
28	21	52
29	21	51
30	22	50
31	24	51
32	25	50
33	25	49
34	26	48
35	26	47
36	27	46
37	27	45
38	28	44
39	28	43
40	29	42
41	29	41
42	30	40
43	30	39
44	31	38
45	32	38
46	33	37
47	33	36
48	34	35
49	34	34
50	35	33
51	35	33
52	36	32
53	37	31
54	37	30
55	38	30
56	39	29
57	39	28
58	40	27
59	40	27
60	41	26
61	41	25
62	42	24
63	42	24
64	43	23
65	43	22
66	44	21
67	44	21
68	45	20
69	45	19
70	46	19
71	47	18
72	47	17
73	48	17
74	49	16
75	49	15
76	50	14
77	50	14
78	51	13
79	52	13
80	53	12
81	53	11
82	54	11
83	54	10
84	55	9
85	55	9
86	56	8
87	56	7
88	57	7
89	58	6
90	58	5
91	59	5
92	59	4
93	60	3
94	60	3
95	61	2
96	61	1
97	62	1
98	63	0
99	63	0
