iter	Passed	Remaining
0	49	49207
1	51	25519
2	51	17152
3	53	13354
4	54	10830
5	55	9140
6	55	7909
7	56	6970
8	56	6241
9	57	5664
10	57	5188
11	58	4791
12	58	4455
13	59	4176
14	60	3951
15	60	3730
16	61	3544
17	61	3368
18	62	3209
19	62	3065
20	62	2936
21	63	2821
22	63	2715
23	64	2618
24	65	2536
25	66	2472
26	67	2445
27	68	2381
28	69	2317
29	69	2259
30	70	2201
31	70	2143
32	71	2089
33	71	2039
34	72	1991
35	73	1956
36	73	1914
37	74	1874
38	74	1836
39	75	1801
40	75	1767
41	76	1734
42	76	1702
43	76	1670
44	77	1640
45	77	1617
46	79	1604
47	79	1578
48	81	1580
49	83	1582
50	83	1561
51	84	1537
52	84	1515
53	85	1494
54	86	1485
55	86	1465
56	87	1445
57	87	1427
58	88	1409
59	88	1393
60	89	1375
61	89	1359
62	92	1372
63	93	1360
64	93	1345
65	96	1369
66	98	1376
67	100	1378
68	101	1370
69	102	1366
70	103	1351
71	103	1337
72	106	1347
73	108	1359
74	109	1347
75	109	1333
76	116	1394
77	116	1382
78	117	1370
79	121	1399
80	124	1410
81	124	1397
82	125	1382
83	128	1403
84	130	1409
85	132	1406
86	132	1395
87	137	1426
88	138	1415
89	138	1404
90	139	1393
91	140	1382
92	140	1372
93	141	1361
94	150	1430
95	152	1438
96	153	1430
97	155	1431
98	155	1419
99	156	1409
100	161	1433
101	161	1423
102	162	1413
103	162	1403
104	169	1441
105	174	1473
106	175	1463
107	176	1453
108	178	1460
109	179	1450
110	179	1441
111	185	1474
112	186	1464
113	191	1486
114	191	1476
115	192	1466
116	192	1455
117	193	1446
118	194	1437
119	194	1428
120	195	1419
121	195	1409
122	208	1485
123	208	1476
124	209	1467
125	219	1523
126	220	1513
127	223	1520
128	223	1510
129	228	1525
130	228	1516
131	229	1506
132	232	1517
133	233	1507
134	233	1498
135	234	1488
136	234	1479
137	235	1469
138	235	1459
139	236	1450
140	236	1441
141	236	1431
142	237	1423
143	238	1415
144	238	1407
145	239	1398
146	239	1389
147	239	1381
148	240	1372
149	240	1364
150	241	1357
151	241	1349
152	242	1341
153	242	1333
154	243	1326
155	243	1318
156	244	1310
157	244	1304
158	245	1296
159	245	1289
160	246	1282
161	246	1277
162	247	1270
163	248	1264
164	248	1259
165	249	1252
166	249	1245
167	250	1239
168	250	1233
169	251	1226
170	251	1220
171	252	1214
172	252	1208
173	253	1201
174	253	1195
175	254	1189
176	254	1183
177	255	1178
178	255	1173
179	256	1167
180	256	1161
181	257	1156
182	257	1151
183	258	1145
184	258	1140
185	259	1134
186	259	1129
187	260	1124
188	260	1119
189	261	1114
190	261	1109
191	262	1104
192	262	1099
193	263	1094
194	263	1089
195	264	1084
196	264	1079
197	265	1075
198	265	1070
199	266	1065
200	267	1061
201	267	1056
202	268	1052
203	268	1048
204	269	1044
205	269	1040
206	270	1036
207	270	1031
208	271	1026
209	274	1030
210	274	1026
211	275	1022
212	275	1018
213	276	1014
214	276	1010
215	277	1006
216	277	1002
217	278	997
218	278	994
219	279	990
220	280	987
221	280	983
222	280	979
223	281	974
224	281	970
225	282	966
226	282	962
227	283	958
228	283	954
229	284	950
230	284	947
231	284	943
232	285	939
233	285	935
234	287	936
235	288	933
236	288	930
237	289	926
238	290	923
239	290	919
240	290	916
241	291	912
242	291	908
243	292	905
244	292	902
245	293	898
246	293	895
247	294	891
248	294	888
249	294	884
250	295	881
251	295	878
252	296	874
253	296	871
254	297	867
255	297	864
256	297	861
257	298	858
258	298	854
259	299	851
260	299	848
261	300	845
262	300	842
263	300	838
264	301	836
265	301	832
266	302	829
267	302	827
